# FINAL THESIS EXPERIMENTAL EVIDENCE. Tier-2 live software-based testbed: real 5G NAS/NGAP/GTP-U via Open5GS and UERANSIM, and a real IEEE 802.11 association and EAP-TLS exchange via mac80211_hwsim, over simulated radios. Not an RF, propagation, interference, channel-quality, spectrum-coexistence or physical-handover measurement. Generated from results/final/raw/; no value was typed by hand.
device_count,strategy,seed,decision_latency_ms_median,decision_latency_ms_p95,engine_time_us_median,nr_context_ms_median,wlan_context_ms_median,transition_ms_median,app_recovery_ms_median,reauthentications,step_ups,state_changes,messages,bytes,app_operations,cpu_seconds,cpu_percent,memory_mib_peak,wall_seconds,false_acceptance_rate,false_rejection_rate
1,static_continuity,20260907,0.179173,0.21841750000000001,,0.026805,0.031015,,,0,0,0,0,0,0,0.01,67.495,59.3359375,0.014816,,0.0
1,static_continuity,20260908,0.1688965,0.21311215,,0.031975,0.037978,,,0,0,0,0,0,0,0.01,59.848,59.3359375,0.016709,,0.0
1,static_continuity,20260909,0.17953249999999998,0.22951625,,0.029336,0.032832,,,0,0,0,0,0,0,0.01,73.594,59.3359375,0.013588,,0.0
1,static_continuity,20260910,0.16232749999999999,0.21309785,,0.027758,0.02665,,,0,0,0,0,0,0,0.01,63.666,59.3359375,0.015707,,0.0
1,static_continuity,20260911,0.17307250000000002,0.21758785,,0.028014,0.036115,,,0,0,0,0,0,0,0.01,78.235,59.3359375,0.012782,,0.0
1,static_continuity,20260912,0.18669550000000001,0.23207395,,0.040123,0.039442,,,0,0,0,0,0,0,0.02,121.551,59.3359375,0.016454,,0.0
1,static_continuity,20260913,0.164438,0.2163023,,0.031809,0.030274,,,0,0,0,0,0,0,0.01,62.881,59.3359375,0.015903,,0.0
1,static_continuity,20260914,0.178189,0.22040169999999998,,0.028313,0.034581,,,0,0,0,0,0,0,0.01,67.527,59.3359375,0.014809,,0.0
1,static_continuity,20260915,0.227693,0.3293876,,0.03846,0.032236,,,0,0,0,0,0,0,0.01,57.827,59.3359375,0.017293,,0.0
1,static_continuity,20260916,0.165319,0.21051340000000002,,0.03104,0.035377,,,0,0,0,0,0,0,0.01,65.108,59.3359375,0.015359,,0.0
1,static_continuity,20260917,0.18447449999999999,0.22253235,,0.0307,0.046305,,,0,0,0,0,0,0,0.01,74.912,59.3359375,0.013349,,0.0
1,static_continuity,20260918,0.174844,0.21249999999999997,,0.029892,0.048217,,,0,0,0,0,0,0,0.01,67.445,59.33984375,0.014827,,0.0
1,static_continuity,20260919,0.171697,0.2152462,,0.030954,0.036312,,,0,0,0,0,0,0,0.01,56.218,59.33984375,0.017788,,0.0
1,static_continuity,20260920,0.16852899999999998,0.2094952,,0.026788,0.034399,,,0,0,0,0,0,0,0.01,63.98,59.33984375,0.01563,,0.0
1,static_continuity,20260921,0.22329500000000002,0.3018407,,0.048048,0.056509,,,0,0,0,0,0,0,0.01,41.845,59.33984375,0.023898,,0.0
1,static_continuity,20260922,0.170655,0.2112387,,0.034271,0.034144,,,0,0,0,0,0,0,0.01,67.949,59.33984375,0.014717,,0.0
1,static_continuity,20260923,0.17679899999999998,0.2152587,,0.028872,0.033761,,,0,0,0,0,0,0,0.01,72.265,59.33984375,0.013838,,0.0
1,static_continuity,20260924,0.164384,0.2123117,,0.028504,0.026595,,,0,0,0,0,0,0,0.01,59.495,59.33984375,0.016808,,0.0
1,static_continuity,20260925,0.17201850000000002,0.21360975,,0.028928,0.039872,,,0,0,0,0,0,0,0.01,70.621,59.33984375,0.01416,,0.0
1,static_continuity,20260926,0.21312,0.2646369,,0.035248,0.166144,,,0,0,0,0,0,0,0.01,73.605,59.33984375,0.013586,,0.0
